Medicine_ID,Medicine_Name,Generic_Name,Manufacturer,Medicine_Category,Dosage_Form,Strength,Pack_Size,Batch_Number,Manufacturing_Date,Expiry_Date,Days_to_Expiry,Initial_Quantity,Current_Stock,Quantity_Sold,Quantity_Wasted,Unit_Price,Stock_Value,Potential_Loss,Supplier,Storage_Location,Expiry_Status,Stock_Status
MED-0032,Panadol,Paracetamol,Haleon,Analgesic,Tablet,500mg,100s,BN86350,2026-11-26,2028-01-30,531,142,44,98,0,32.58,1433.52,0,PharmaLink Distribution,Shelf B-1,Safe,Optimal
MED-0033,Nexium,Esomeprazole,AstraZeneca,Gastrointestinal,Capsule,20mg,14s,BN56357,2026-02-23,2028-01-06,507,867,163,704,0,78.88,12857.44,0,Medix Wholesale,Shelf A-2,Safe,Optimal
MED-0034,Nurofen,Ibuprofen,Reckitt Benckiser,Analgesic / NSAID,Tablet,400mg,24s,BN33509,2026-03-26,2027-10-22,431,921,690,231,0,73.79,50915.1,0,Medix Wholesale,Shelf B-1,Safe,Overstocked
MED-0035,Nurofen,Ibuprofen,Reckitt Benckiser,Analgesic / NSAID,Tablet,200mg,48s,BN15075,2026-03-21,2027-07-01,318,936,476,460,0,31.35,14922.6,0,Medix Wholesale,Shelf A-2,Safe,Optimal
MED-0036,Lipitor,Atorvastatin,Pfizer,Cardiovascular,Tablet,40mg,30s,BN62227,2025-09-06,2027-01-26,162,459,333,126,0,44.53,14828.49,0,OmniPharma Ltd.,Shelf B-1,Safe,Overstocked
MED-0037,Lipitor,Atorvastatin,Pfizer,Cardiovascular,Tablet,10mg,90s,BN33405,2026-07-26,2027-08-14,362,211,157,54,0,38.35,6020.95,0,Apex Global Health,Shelf B-2,Safe,Overstocked
MED-0038,Diflucan,Fluconazole,Pfizer,Antifungal,Capsule,150mg,4s,BN85574,2024-08-25,2026-08-22,5,546,20,526,0,45.39,907.8,907.8,OmniPharma Ltd.,Narcotics Safe,Critical (<30 Days),Low Stock
MED-0039,Imodium,Loperamide,Johnson & Johnson,Gastrointestinal,Capsule,2mg,12s,BN66531,2025-02-19,2026-08-07,-10,738,170,568,170,57.23,9729.1,9729.1,PharmaLink Distribution,Narcotics Safe,Expired,Optimal
MED-0040,Zoloft,Sertraline,Viatris,Antidepressant,Tablet,100mg,30s,BN52753,2025-12-05,2027-09-14,393,230,54,176,0,37.19,2008.26,0,BioCare Logistics,Narcotics Safe,Safe,Optimal
MED-0041,Nurofen,Ibuprofen,Reckitt Benckiser,Analgesic / NSAID,Tablet,400mg,48s,BN81819,2026-04-30,2027-09-23,402,315,115,200,0,67.33,7742.95,0,OmniPharma Ltd.,Narcotics Safe,Safe,Optimal
MED-0042,Plavix,Clopidogrel,Sanofi,Cardiovascular,Tablet,75mg,28s,BN67954,2026-08-24,2028-04-22,614,912,178,734,0,56.86,10121.08,0,Apex Global Health,Shelf C-1,Safe,Optimal
MED-0043,Imodium,Loperamide,Johnson & Johnson,Gastrointestinal,Capsule,2mg,6s,BN40784,2026-03-25,2027-07-04,321,250,11,239,0,6.31,69.41,0,BioCare Logistics,Shelf C-1,Safe,Low Stock
MED-0044,Glucophage,Metformin,Merck,Antidiabetic,Tablet,850mg,100s,BN92544,2026-04-05,2027-12-14,484,509,129,380,0,14.67,1892.43,0,PharmaLink Distribution,Shelf A-1,Safe,Optimal
MED-0045,Crestor,Rosuvastatin,AstraZeneca,Cardiovascular,Tablet,5mg,30s,BN77889,2027-02-02,2028-06-08,661,968,129,839,0,40.16,5180.64,0,BioCare Logistics,Narcotics Safe,Safe,Low Stock
MED-0046,Norvasc,Amlodipine,Viatris,Cardiovascular,Tablet,10mg,30s,BN90301,2026-09-10,2028-04-15,607,950,566,384,0,39.29,22238.14,0,Medix Wholesale,Narcotics Safe,Safe,Optimal
MED-0047,Lasix,Furosemide,Sanofi,Cardiovascular / Diuretic,Tablet,40mg,50s,BN42406,2025-12-03,2027-08-26,374,596,325,271,0,22.24,7228,0,BioCare Logistics,Shelf A-1,Safe,Optimal
MED-0048,Gaviscon,Sodium Alginate,Reckitt Benckiser,Gastrointestinal,Liquid,Standard,150ml,BN45614,2027-04-12,2028-05-22,644,241,43,198,0,21.58,927.94,0,Medix Wholesale,Cold Storage 1,Safe,Optimal
MED-0049,Glucophage,Metformin,Merck,Antidiabetic,Tablet,850mg,100s,BN53369,2026-12-15,2028-01-15,516,311,218,93,0,37.16,8100.88,0,OmniPharma Ltd.,Narcotics Safe,Safe,Overstocked
MED-0050,Lipitor,Atorvastatin,Pfizer,Cardiovascular,Tablet,40mg,90s,BN72518,2024-12-18,2026-05-19,-90,871,209,662,209,72.91,15238.19,15238.19,BioCare Logistics,Shelf C-1,Expired,Optimal
MED-0051,Cipro,Ciprofloxacin,Bayer,Antibiotic,Tablet,250mg,14s,BN38760,2027-03-14,2028-03-27,588,498,177,321,0,57.68,10209.36,0,BioCare Logistics,Narcotics Safe,Safe,Optimal
MED-0052,Nurofen,Ibuprofen,Reckitt Benckiser,Analgesic / NSAID,Tablet,400mg,24s,BN91560,2026-02-24,2027-12-24,494,677,32,645,0,9.43,301.76,0,BioCare Logistics,Shelf A-2,Safe,Low Stock
MED-0053,Synthroid,Levothyroxine,AbbVie,Endocrine,Tablet,50mcg,90s,BN44099,2025-10-31,2027-06-20,307,434,177,257,0,65.3,11558.1,0,BioCare Logistics,Shelf B-1,Safe,Optimal
MED-0054,Crestor,Rosuvastatin,AstraZeneca,Cardiovascular,Tablet,10mg,30s,BN71644,2025-06-10,2026-07-06,-42,458,67,391,67,56.14,3761.38,3761.38,PharmaLink Distribution,Shelf A-1,Expired,Low Stock
MED-0055,Ventolin,Albuterol,GlaxoSmithKline,Respiratory,Inhaler,100mcg,200 doses,BN91439,2025-01-03,2026-09-02,16,785,78,707,0,49.03,3824.34,3824.34,Medix Wholesale,Shelf B-1,Critical (<30 Days),Low Stock
MED-0056,Voltaren,Diclofenac,Haleon,Analgesic / NSAID,Gel,1%,50g,BN31465,2025-05-14,2027-03-06,201,126,44,82,0,50,2200,0,BioCare Logistics,Shelf B-2,Safe,Optimal
MED-0057,Gaviscon,Sodium Alginate,Reckitt Benckiser,Gastrointestinal,Liquid,Standard,150ml,BN87607,2026-05-31,2027-07-22,339,813,313,500,0,72.65,22739.45,0,OmniPharma Ltd.,Cold Storage 1,Safe,Optimal
MED-0058,Klacid,Clarithromycin,Abbott,Antibiotic,Tablet,250mg,14s,BN79827,2026-10-26,2027-11-30,470,618,336,282,0,30.65,10298.4,0,BioCare Logistics,Shelf B-2,Safe,Optimal
MED-0059,Zyrtec,Cetirizine,Johnson & Johnson,Antihistamine,Tablet,10mg,30s,BN93307,2026-03-04,2028-02-29,561,256,116,140,0,17.03,1975.48,0,OmniPharma Ltd.,Narcotics Safe,Safe,Optimal
MED-0060,Augmentin,Amoxicillin + Clavulanate,GlaxoSmithKline,Antibiotic,Tablet,1000mg,20s,BN67091,2027-02-28,2028-07-14,697,430,130,300,0,71.04,9235.2,0,PharmaLink Distribution,Shelf B-1,Safe,Optimal
MED-0061,Synthroid,Levothyroxine,AbbVie,Endocrine,Tablet,50mcg,100s,BN84691,2026-06-20,2027-12-09,479,129,68,61,0,72.7,4943.6,0,Medix Wholesale,Shelf B-2,Safe,Optimal
MED-0062,Nexium,Esomeprazole,AstraZeneca,Gastrointestinal,Capsule,40mg,28s,BN54608,2026-07-25,2028-07-18,701,382,289,93,0,3.34,965.26,0,Medix Wholesale,Shelf A-1,Safe,Overstocked
MED-0063,Ventolin,Albuterol,GlaxoSmithKline,Respiratory,Inhaler,100mcg,200 doses,BN82768,2026-04-22,2028-03-17,578,828,507,321,0,39.47,20011.29,0,PharmaLink Distribution,Shelf A-2,Safe,Overstocked
MED-0064,Singulair,Montelukast,Organon,Respiratory,Tablet,10mg,28s,BN50135,2026-03-31,2027-11-28,468,666,357,309,0,37.6,13423.2,0,OmniPharma Ltd.,Shelf B-1,Safe,Optimal
MED-0065,Voltaren,Diclofenac,Haleon,Analgesic / NSAID,Gel,2%,100g,BN50189,2025-12-11,2027-03-19,214,423,66,357,0,63.79,4210.14,0,Medix Wholesale,Shelf A-2,Safe,Optimal
MED-0066,Nexium,Esomeprazole,AstraZeneca,Gastrointestinal,Capsule,40mg,28s,BN87278,2026-07-06,2028-05-06,628,389,56,333,0,71.19,3986.64,0,Apex Global Health,Shelf A-2,Safe,Low Stock
MED-0067,Voltaren,Diclofenac,Haleon,Analgesic / NSAID,Gel,1%,100g,BN11854,2025-11-05,2027-03-25,220,146,11,135,0,48.15,529.65,0,Medix Wholesale,Narcotics Safe,Safe,Low Stock
MED-0068,Lasix,Furosemide,Sanofi,Cardiovascular / Diuretic,Tablet,40mg,50s,BN85243,2026-08-08,2028-03-20,581,448,99,349,0,82.15,8132.85,0,Apex Global Health,Shelf B-2,Safe,Optimal
MED-0069,Zyrtec,Cetirizine,Johnson & Johnson,Antihistamine,Tablet,10mg,30s,BN74454,2024-08-12,2026-07-29,-19,154,19,135,19,14.81,281.39,281.39,OmniPharma Ltd.,Shelf B-1,Expired,Low Stock
MED-0070,Glucophage,Metformin,Merck,Antidiabetic,Tablet,500mg,60s,BN83147,2026-09-27,2028-07-28,711,909,638,271,0,21.12,13474.56,0,OmniPharma Ltd.,Shelf B-2,Safe,Overstocked
MED-0071,Synthroid,Levothyroxine,AbbVie,Endocrine,Tablet,100mcg,100s,BN87139,2025-12-07,2027-09-24,403,735,66,669,0,52.79,3484.14,0,PharmaLink Distribution,Shelf A-2,Safe,Low Stock
MED-0072,Januvia,Sitagliptin,MSD,Antihistamine,Tablet,50mg,28s,BN96563,2025-01-22,2026-04-20,-119,665,48,617,48,15.41,739.68,739.68,BioCare Logistics,Shelf B-2,Expired,Low Stock
MED-0073,Gaviscon,Sodium Alginate,Reckitt Benckiser,Gastrointestinal,Liquid,Standard,300ml,BN14278,2025-06-24,2026-11-15,90,819,460,359,0,39.96,18381.6,18381.6,Medix Wholesale,Cold Storage 2,Near Expiry (31-90 Days),Optimal
MED-0074,Januvia,Sitagliptin,MSD,Antihistamine,Tablet,50mg,28s,BN25043,2025-12-02,2027-04-17,243,946,150,796,0,8.39,1258.5,0,Medix Wholesale,Shelf B-1,Safe,Optimal
MED-0075,Diflucan,Fluconazole,Pfizer,Antifungal,Capsule,150mg,4s,BN26299,2025-09-30,2027-09-23,402,512,144,368,0,43.79,6305.76,0,BioCare Logistics,Shelf B-2,Safe,Optimal
MED-0076,Glucophage,Metformin,Merck,Antidiabetic,Tablet,1000mg,60s,BN66626,2027-03-21,2028-07-26,709,126,16,110,0,21.39,342.24,0,OmniPharma Ltd.,Shelf C-1,Safe,Low Stock
MED-0077,Lipitor,Atorvastatin,Pfizer,Cardiovascular,Tablet,40mg,90s,BN85529,2024-08-06,2026-04-03,-136,631,176,455,176,38.98,6860.48,6860.48,Apex Global Health,Shelf A-2,Expired,Optimal
MED-0078,Klacid,Clarithromycin,Abbott,Antibiotic,Tablet,500mg,14s,BN21959,2026-07-22,2028-01-08,509,428,58,370,0,73.26,4249.08,0,Apex Global Health,Shelf B-2,Safe,Low Stock
MED-0079,Gaviscon,Sodium Alginate,Reckitt Benckiser,Gastrointestinal,Liquid,Standard,300ml,BN96846,2027-05-15,2028-06-01,654,565,50,515,0,28.45,1422.5,0,Apex Global Health,Cold Storage 1,Safe,Low Stock
MED-0080,Singulair,Montelukast,Organon,Respiratory,Tablet,10mg,28s,BN96200,2026-08-05,2028-03-03,564,155,29,126,0,45.27,1312.83,0,OmniPharma Ltd.,Shelf B-2,Safe,Optimal
MED-0081,Januvia,Sitagliptin,MSD,Antihistamine,Tablet,100mg,28s,BN36680,2025-11-03,2027-03-30,225,548,362,186,0,42.49,15381.38,0,PharmaLink Distribution,Narcotics Safe,Safe,Overstocked
MED-0082,Diflucan,Fluconazole,Pfizer,Antifungal,Capsule,150mg,1s,BN50730,2026-11-08,2028-06-03,656,195,62,133,0,84.36,5230.32,0,PharmaLink Distribution,Shelf B-2,Safe,Optimal
MED-0083,Zyrtec,Cetirizine,Johnson & Johnson,Antihistamine,Tablet,10mg,30s,BN48254,2026-01-22,2027-08-22,370,954,499,455,0,83.37,41601.63,0,Medix Wholesale,Shelf B-2,Safe,Optimal
MED-0084,Cipro,Ciprofloxacin,Bayer,Antibiotic,Tablet,250mg,14s,BN34983,2027-02-10,2028-04-19,611,984,76,908,0,25.29,1922.04,0,BioCare Logistics,Shelf B-1,Safe,Low Stock
MED-0085,Norvasc,Amlodipine,Viatris,Cardiovascular,Tablet,10mg,30s,BN47072,2026-09-17,2028-07-09,692,775,506,269,0,73.88,37383.28,0,BioCare Logistics,Shelf C-1,Safe,Overstocked
MED-0086,Lasix,Furosemide,Sanofi,Cardiovascular / Diuretic,Tablet,40mg,50s,BN82340,2026-04-18,2027-12-07,477,429,101,328,0,83.41,8424.41,0,Medix Wholesale,Shelf C-1,Safe,Optimal
MED-0087,Singulair,Montelukast,Organon,Respiratory,Tablet,4mg,28s,BN15720,2026-03-19,2028-03-14,575,930,395,535,0,34.35,13568.25,0,Medix Wholesale,Shelf B-2,Safe,Optimal
MED-0088,Amoxil,Amoxicillin,GlaxoSmithKline,Antibiotic,Capsule,250mg,100s,BN23154,2026-12-20,2028-02-09,541,638,471,167,0,40.2,18934.2,0,Medix Wholesale,Shelf B-2,Safe,Overstocked
MED-0089,Januvia,Sitagliptin,MSD,Antihistamine,Tablet,50mg,28s,BN71537,2026-02-22,2027-08-14,362,738,412,326,0,56.11,23117.32,0,Apex Global Health,Narcotics Safe,Safe,Optimal
MED-0090,Cipro,Ciprofloxacin,Bayer,Antibiotic,Tablet,500mg,14s,BN92155,2026-06-26,2028-03-29,590,136,84,52,0,8.14,683.76,0,Apex Global Health,Shelf A-2,Safe,Overstocked
MED-0091,Glucophage,Metformin,Merck,Antidiabetic,Tablet,850mg,60s,BN93066,2025-07-14,2027-02-26,193,270,182,88,0,27.21,4952.22,0,PharmaLink Distribution,Shelf A-1,Safe,Overstocked
MED-0092,Plavix,Clopidogrel,Sanofi,Cardiovascular,Tablet,75mg,28s,BN56984,2025-12-10,2027-04-14,240,643,215,428,0,49.19,10575.85,0,Medix Wholesale,Shelf A-2,Safe,Optimal
MED-0093,Nurofen,Ibuprofen,Reckitt Benckiser,Analgesic / NSAID,Tablet,200mg,48s,BN91226,2026-06-15,2028-04-08,600,246,64,182,0,40.54,2594.56,0,Apex Global Health,Shelf B-2,Safe,Optimal
MED-0094,Augmentin,Amoxicillin + Clavulanate,GlaxoSmithKline,Antibiotic,Tablet,625mg,20s,BN47700,2026-03-20,2027-04-26,252,552,181,371,0,83.98,15200.38,0,Apex Global Health,Narcotics Safe,Safe,Optimal
MED-0095,Crestor,Rosuvastatin,AstraZeneca,Cardiovascular,Tablet,20mg,30s,BN69878,2025-11-23,2027-06-07,294,973,499,474,0,11.3,5638.7,0,BioCare Logistics,Shelf C-1,Safe,Optimal
MED-0096,Voltaren,Diclofenac,Haleon,Analgesic / NSAID,Gel,2%,100g,BN12875,2026-08-08,2027-12-26,496,108,77,31,0,73.87,5687.99,0,PharmaLink Distribution,Shelf C-1,Safe,Overstocked
MED-0097,Lasix,Furosemide,Sanofi,Cardiovascular / Diuretic,Tablet,40mg,50s,BN89569,2025-08-07,2027-06-28,315,294,163,131,0,23.18,3778.34,0,Medix Wholesale,Narcotics Safe,Safe,Optimal
MED-0098,Zyrtec,Cetirizine,Johnson & Johnson,Antihistamine,Tablet,10mg,30s,BN67779,2025-03-16,2026-05-22,-87,192,47,145,47,29.45,1384.15,1384.15,BioCare Logistics,Shelf A-2,Expired,Optimal
MED-0099,Nexium,Esomeprazole,AstraZeneca,Gastrointestinal,Capsule,20mg,28s,BN79579,2026-05-30,2027-08-22,370,363,251,112,0,82.31,20659.81,0,Apex Global Health,Narcotics Safe,Safe,Overstocked
MED-0100,Plavix,Clopidogrel,Sanofi,Cardiovascular,Tablet,75mg,28s,BN19869,2024-10-03,2026-09-14,28,841,365,476,0,83.35,30422.75,30422.75,OmniPharma Ltd.,Shelf B-1,Critical (<30 Days),Optimal
MED-0101,Glucophage,Metformin,Merck,Antidiabetic,Tablet,850mg,60s,BN44663,2026-08-20,2028-02-24,556,788,273,515,0,50.73,13849.29,0,Apex Global Health,Shelf A-1,Safe,Optimal
MED-0102,Imodium,Loperamide,Johnson & Johnson,Gastrointestinal,Capsule,2mg,12s,BN13280,2026-12-28,2028-06-12,665,724,231,493,0,55.93,12919.83,0,BioCare Logistics,Narcotics Safe,Safe,Optimal
MED-0103,Zoloft,Sertraline,Viatris,Antidepressant,Tablet,100mg,30s,BN28320,2024-09-25,2026-02-27,-171,604,39,565,39,10.52,410.28,410.28,OmniPharma Ltd.,Shelf A-2,Expired,Low Stock
MED-0104,Singulair,Montelukast,Organon,Respiratory,Tablet,5mg,28s,BN97881,2026-10-21,2028-05-22,644,701,163,538,0,75.55,12314.65,0,PharmaLink Distribution,Shelf B-2,Safe,Optimal
MED-0105,Diflucan,Fluconazole,Pfizer,Antifungal,Capsule,150mg,4s,BN14288,2025-11-11,2027-06-26,313,555,125,430,0,73.07,9133.75,0,PharmaLink Distribution,Narcotics Safe,Safe,Optimal
MED-0106,Voltaren,Diclofenac,Haleon,Analgesic / NSAID,Gel,2%,50g,BN62184,2025-08-01,2027-03-21,216,193,59,134,0,55.44,3270.96,0,OmniPharma Ltd.,Shelf A-1,Safe,Optimal
MED-0107,Amoxil,Amoxicillin,GlaxoSmithKline,Antibiotic,Capsule,500mg,20s,BN26505,2026-05-10,2027-06-14,301,949,572,377,0,19.59,11205.48,0,Medix Wholesale,Shelf A-2,Safe,Overstocked
MED-0108,Plavix,Clopidogrel,Sanofi,Cardiovascular,Tablet,75mg,28s,BN46342,2026-02-06,2027-04-13,239,653,261,392,0,68.38,17847.18,0,PharmaLink Distribution,Narcotics Safe,Safe,Optimal
MED-0109,Lipitor,Atorvastatin,Pfizer,Cardiovascular,Tablet,10mg,30s,BN56955,2025-09-19,2027-07-17,334,431,13,418,0,16.88,219.44,0,PharmaLink Distribution,Shelf A-2,Safe,Low Stock
MED-0110,Crestor,Rosuvastatin,AstraZeneca,Cardiovascular,Tablet,20mg,30s,BN18330,2026-03-04,2027-11-21,461,707,116,591,0,39.79,4615.64,0,Medix Wholesale,Shelf C-1,Safe,Optimal
MED-0111,Amoxil,Amoxicillin,GlaxoSmithKline,Antibiotic,Capsule,500mg,100s,BN94323,2025-05-17,2027-01-17,153,967,416,551,0,37.67,15670.72,0,PharmaLink Distribution,Shelf B-2,Safe,Optimal
MED-0112,Gaviscon,Sodium Alginate,Reckitt Benckiser,Gastrointestinal,Liquid,Standard,150ml,BN20589,2026-03-14,2027-04-16,242,229,75,154,0,54.01,4050.75,0,OmniPharma Ltd.,Cold Storage 2,Safe,Optimal
MED-0113,Singulair,Montelukast,Organon,Respiratory,Tablet,10mg,28s,BN69469,2026-12-11,2028-01-30,531,912,723,189,0,11.94,8632.62,0,OmniPharma Ltd.,Narcotics Safe,Safe,Overstocked
MED-0114,Nexium,Esomeprazole,AstraZeneca,Gastrointestinal,Capsule,40mg,28s,BN39949,2026-08-03,2028-02-23,555,525,378,147,0,10.34,3908.52,0,BioCare Logistics,Shelf B-1,Safe,Overstocked
MED-0115,Imodium,Loperamide,Johnson & Johnson,Gastrointestinal,Capsule,2mg,12s,BN30006,2027-02-10,2028-03-15,576,193,26,167,0,10.19,264.94,0,PharmaLink Distribution,Narcotics Safe,Safe,Low Stock
MED-0116,Voltaren,Diclofenac,Haleon,Analgesic / NSAID,Gel,1%,50g,BN86869,2026-12-28,2028-06-13,666,786,130,656,0,36.39,4730.7,0,BioCare Logistics,Narcotics Safe,Safe,Optimal
MED-0117,Amoxil,Amoxicillin,GlaxoSmithKline,Antibiotic,Capsule,500mg,100s,BN56090,2025-07-04,2026-10-20,64,258,143,115,0,21,3003,3003,PharmaLink Distribution,Shelf B-1,Near Expiry (31-90 Days),Optimal
MED-0118,Cipro,Ciprofloxacin,Bayer,Antibiotic,Tablet,500mg,10s,BN46512,2026-04-17,2028-01-29,530,885,641,244,0,53.12,34049.92,0,OmniPharma Ltd.,Shelf A-1,Safe,Overstocked
